sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_300_450,fiducial_xs_norm_TTH_PTH_GT450
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306024,0.995157749541,0.995157749541,-1.0,-1.0,-1.0,-1.0,0.995157749541,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306025,0.994532331996,0.994532331996,-1.0,-1.0,-1.0,-1.0,0.994532331996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306026,0.994194779401,0.994194779401,-1.0,-1.0,-1.0,-1.0,0.994194779401,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306027,0.99458830067,0.99458830067,-1.0,-1.0,-1.0,-1.0,0.99458830067,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306028,0.994823585956,0.994823585956,-1.0,-1.0,-1.0,-1.0,0.994823585956,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306029,0.994069788905,0.994069788905,-1.0,-1.0,-1.0,-1.0,0.994069788905,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306030,0.994782465487,0.994782465487,-1.0,-1.0,-1.0,-1.0,0.994782465487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306031,0.9944813660709999,0.9944813660709999,-1.0,-1.0,-1.0,-1.0,0.9944813660709999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306032,0.9944979440649999,0.9944979440649999,-1.0,-1.0,-1.0,-1.0,0.9944979440649999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306033,0.994489598011,0.994489598011,-1.0,-1.0,-1.0,-1.0,0.994489598011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306034,0.994366175917,0.994366175917,-1.0,-1.0,-1.0,-1.0,0.994366175917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306035,0.994587060242,0.994587060242,-1.0,-1.0,-1.0,-1.0,0.994587060242,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306036,0.994754687288,0.994754687288,-1.0,-1.0,-1.0,-1.0,0.994754687288,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306037,0.9945223513,0.9945223513,-1.0,-1.0,-1.0,-1.0,0.9945223513,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306038,0.9945674928460001,0.9945674928460001,-1.0,-1.0,-1.0,-1.0,0.9945674928460001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306039,0.9946125009379999,0.9946125009379999,-1.0,-1.0,-1.0,-1.0,0.9946125009379999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306040,0.994517581657,0.994517581657,-1.0,-1.0,-1.0,-1.0,0.994517581657,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306041,0.994528027607,0.994528027607,-1.0,-1.0,-1.0,-1.0,0.994528027607,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306042,0.994807251519,0.994807251519,-1.0,-1.0,-1.0,-1.0,0.994807251519,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306043,0.994579935932,0.994579935932,-1.0,-1.0,-1.0,-1.0,0.994579935932,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306044,0.994504999693,0.994504999693,-1.0,-1.0,-1.0,-1.0,0.994504999693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306045,0.9946879345209999,0.9946879345209999,-1.0,-1.0,-1.0,-1.0,0.9946879345209999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306046,0.9943377460639999,0.9943377460639999,-1.0,-1.0,-1.0,-1.0,0.9943377460639999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306047,0.994332061004,0.994332061004,-1.0,-1.0,-1.0,-1.0,0.994332061004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306048,0.9948280878829999,0.9948280878829999,-1.0,-1.0,-1.0,-1.0,0.9948280878829999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306049,0.994607747568,0.994607747568,-1.0,-1.0,-1.0,-1.0,0.994607747568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306050,0.994495714256,0.994495714256,-1.0,-1.0,-1.0,-1.0,0.994495714256,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306051,0.9942892778740001,0.9942892778740001,-1.0,-1.0,-1.0,-1.0,0.9942892778740001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306052,0.994628192919,0.994628192919,-1.0,-1.0,-1.0,-1.0,0.994628192919,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306053,0.994424725429,0.994424725429,-1.0,-1.0,-1.0,-1.0,0.994424725429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306054,0.9944797885609999,0.9944797885609999,-1.0,-1.0,-1.0,-1.0,0.9944797885609999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306055,0.994574649483,0.994574649483,-1.0,-1.0,-1.0,-1.0,0.994574649483,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306056,0.994617421804,0.994617421804,-1.0,-1.0,-1.0,-1.0,0.994617421804,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306057,0.9946347157179999,0.9946347157179999,-1.0,-1.0,-1.0,-1.0,0.9946347157179999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306058,0.994463778169,0.994463778169,-1.0,-1.0,-1.0,-1.0,0.994463778169,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306059,0.9945372741959999,0.9945372741959999,-1.0,-1.0,-1.0,-1.0,0.9945372741959999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306060,0.994530143215,0.994530143215,-1.0,-1.0,-1.0,-1.0,0.994530143215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306061,0.994628877829,0.994628877829,-1.0,-1.0,-1.0,-1.0,0.994628877829,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306062,0.994612637777,0.994612637777,-1.0,-1.0,-1.0,-1.0,0.994612637777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306063,0.9945139361900001,0.9945139361900001,-1.0,-1.0,-1.0,-1.0,0.9945139361900001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306064,0.994554435402,0.994554435402,-1.0,-1.0,-1.0,-1.0,0.994554435402,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306065,0.9944741213860001,0.9944741213860001,-1.0,-1.0,-1.0,-1.0,0.9944741213860001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306066,0.9945275106579999,0.9945275106579999,-1.0,-1.0,-1.0,-1.0,0.9945275106579999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306067,0.994380210134,0.994380210134,-1.0,-1.0,-1.0,-1.0,0.994380210134,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306068,0.9944660278290001,0.9944660278290001,-1.0,-1.0,-1.0,-1.0,0.9944660278290001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306069,0.994382200599,0.994382200599,-1.0,-1.0,-1.0,-1.0,0.994382200599,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306070,0.994740753764,0.994740753764,-1.0,-1.0,-1.0,-1.0,0.994740753764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306071,0.994643531507,0.994643531507,-1.0,-1.0,-1.0,-1.0,0.994643531507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306072,0.994561546903,0.994561546903,-1.0,-1.0,-1.0,-1.0,0.994561546903,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306073,0.9946581297579999,0.9946581297579999,-1.0,-1.0,-1.0,-1.0,0.9946581297579999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306074,0.994502904379,0.994502904379,-1.0,-1.0,-1.0,-1.0,0.994502904379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306075,0.994589620818,0.994589620818,-1.0,-1.0,-1.0,-1.0,0.994589620818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306076,0.9945538438670001,0.9945538438670001,-1.0,-1.0,-1.0,-1.0,0.9945538438670001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306077,0.9946339080299998,0.9946339080299998,-1.0,-1.0,-1.0,-1.0,0.9946339080299998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306078,0.994590928634,0.994590928634,-1.0,-1.0,-1.0,-1.0,0.994590928634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306079,0.994469445776,0.994469445776,-1.0,-1.0,-1.0,-1.0,0.994469445776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306080,0.994644318741,0.994644318741,-1.0,-1.0,-1.0,-1.0,0.994644318741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306081,0.994519183282,0.994519183282,-1.0,-1.0,-1.0,-1.0,0.994519183282,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306082,0.994417387285,0.994417387285,-1.0,-1.0,-1.0,-1.0,0.994417387285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306083,0.994617538505,0.994617538505,-1.0,-1.0,-1.0,-1.0,0.994617538505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306084,0.994522829804,0.994522829804,-1.0,-1.0,-1.0,-1.0,0.994522829804,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306085,0.9947212678210001,0.9947212678210001,-1.0,-1.0,-1.0,-1.0,0.9947212678210001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306086,0.994629519102,0.994629519102,-1.0,-1.0,-1.0,-1.0,0.994629519102,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306087,0.9944572561130001,0.9944572561130001,-1.0,-1.0,-1.0,-1.0,0.9944572561130001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306088,0.9945915893009999,0.9945915893009999,-1.0,-1.0,-1.0,-1.0,0.9945915893009999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306089,0.9945052871719999,0.9945052871719999,-1.0,-1.0,-1.0,-1.0,0.9945052871719999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306090,0.994638426356,0.994638426356,-1.0,-1.0,-1.0,-1.0,0.994638426356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306091,0.9944930656190001,0.9944930656190001,-1.0,-1.0,-1.0,-1.0,0.9944930656190001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306092,0.994552134341,0.994552134341,-1.0,-1.0,-1.0,-1.0,0.994552134341,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306093,0.994739607718,0.994739607718,-1.0,-1.0,-1.0,-1.0,0.994739607718,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306094,0.994474150756,0.994474150756,-1.0,-1.0,-1.0,-1.0,0.994474150756,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306095,0.994603436354,0.994603436354,-1.0,-1.0,-1.0,-1.0,0.994603436354,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306096,0.994591977614,0.994591977614,-1.0,-1.0,-1.0,-1.0,0.994591977614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306097,0.9944711071279999,0.9944711071279999,-1.0,-1.0,-1.0,-1.0,0.9944711071279999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8,Weight_pdf_variation_306098,0.9947113526189999,0.9947113526189999,-1.0,-1.0,-1.0,-1.0,0.9947113526189999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
