name,weight,factor,fraction_5fs_vs_4fs,reweighting_factor,final_weight
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306076,0.999579394985,0.,1.,0.999579394985
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306077,1.00107523131,0.,1.,1.00107523131
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306078,0.999617625808,0.,1.,0.999617625808
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306079,0.999576454274,0.,1.,0.999576454274
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306080,0.999506356631,0.,1.,0.999506356631
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306081,0.999583663791,0.,1.,0.999583663791
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306082,0.999373492142,0.,1.,0.999373492142
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306083,0.999814043627,0.,1.,0.999814043627
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306084,1.00013673487,0.,1.,1.00013673487
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306085,0.999691059959,0.,1.,0.999691059959
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306086,0.999619807805,0.,1.,0.999619807805
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306087,1.00037915131,0.,1.,1.00037915131
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306088,0.999789937962,0.,1.,0.999789937962
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306089,1.00002107752,0.,1.,1.00002107752
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306090,0.999709467625,0.,1.,0.999709467625
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306091,0.99992727988,0.,1.,0.99992727988
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306092,0.999999335408,0.,1.,0.999999335408
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306093,0.999589165861,0.,1.,0.999589165861
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306094,1.00001652014,0.,1.,1.00001652014
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306095,0.999588217224,0.,1.,0.999588217224
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306096,1.00015430421,0.,1.,1.00015430421
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306097,0.99912284338,0.,1.,0.99912284338
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306098,1.00010235772,0.,1.,1.00010235772
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306099,0.999736605937,0.,1.,0.999736605937
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306100,0.999917787172,0.,1.,0.999917787172
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306101,1.08557592333,0.,1.,1.08557592333
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,Weight_pdf_variation_306102,0.989812220073,0.,1.,0.989812220073
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,GenWeight_fsr_Def_down,1.0005267295,0.,1.,1.0005267295
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,GenWeight_fsr_Def_up,1.00572914329,0.,1.,1.00572914329
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,GenWeight_isr_Def_down,1.00855620585,0.,1.,1.00855620585
TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8,GenWeight_isr_Def_up,1.00808360395,0.,1.,1.00808360395
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_1p0_muF_1p0,0.999999914096,0.,1.,0.999999914096
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_2p0_muF_1p0,1.35680409116,0.0425289538637,1.03881681851,1.40947090932
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_2p0_muF_2p0,1.42811391832,0.,1.,1.42811391832
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_0p5_muF_1p0,0.73004039924,0.0422614575507,1.04539206898,0.7631784434
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_0p5_muF_0p5,0.729568633762,0.,1.,0.729568633762
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_1p0_muF_2p0,1.00313938585,0.0429093707908,1.02960709357,1.03283942751
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_scale_variation_muR_1p0_muF_0p5,0.950968501195,0.0425491318451,1.03832418269,0.987413591767
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_LHA_320900_nominal,0.999438676286,0.,1.,0.999438676286
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_LHA_320900_up,0.942612978404,0.,1.,0.942612978404
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_LHA_320900_down,1.02070461923,0.,1.,1.02070461923
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320900,0.999999914096,0.,1.,0.999999914096
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320901,0.968284881922,0.,1.,0.968284881922
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320902,1.004534975,0.,1.,1.004534975
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320903,0.985475722409,0.,1.,0.985475722409
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320904,0.978729386213,0.,1.,0.978729386213
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320905,0.998490290072,0.,1.,0.998490290072
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320906,0.947018006141,0.,1.,0.947018006141
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320907,1.00223202659,0.,1.,1.00223202659
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320908,1.00940273712,0.,1.,1.00940273712
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320909,0.996663754826,0.,1.,0.996663754826
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320910,0.941166511799,0.,1.,0.941166511799
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320911,0.98575235899,0.,1.,0.98575235899
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320912,0.973894680199,0.,1.,0.973894680199
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320913,1.00189656606,0.,1.,1.00189656606
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320914,0.992619982521,0.,1.,0.992619982521
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320915,1.01882817339,0.,1.,1.01882817339
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320916,0.996566401034,0.,1.,0.996566401034
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,Weight_pdf_variation_320917,0.971741201916,0.,1.,0.971741201916
