sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis,fiducial_xs_norm_TTH_PTH_0_60,fiducial_xs_norm_TTH_PTH_60_120,fiducial_xs_norm_TTH_PTH_120_200,fiducial_xs_norm_TTH_PTH_200_300,fiducial_xs_norm_TTH_PTH_GT300
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306058,0.9945539952979999,0.9945539952979999,-1.0,-1.0,-1.0,-1.0,0.9945539952979999,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306059,0.994632723521,0.994632723521,-1.0,-1.0,-1.0,-1.0,0.994632723521,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306060,0.994618008618,0.994618008618,-1.0,-1.0,-1.0,-1.0,0.994618008618,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306061,0.994713118376,0.994713118376,-1.0,-1.0,-1.0,-1.0,0.994713118376,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306062,0.994718796789,0.994718796789,-1.0,-1.0,-1.0,-1.0,0.994718796789,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306063,0.99461957812,0.99461957812,-1.0,-1.0,-1.0,-1.0,0.99461957812,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306064,0.994642322341,0.994642322341,-1.0,-1.0,-1.0,-1.0,0.994642322341,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306065,0.994555718985,0.994555718985,-1.0,-1.0,-1.0,-1.0,0.994555718985,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306066,0.994638915815,0.994638915815,-1.0,-1.0,-1.0,-1.0,0.994638915815,-1.0,-1.0,-1.0,-1.0,-1.0
THQ_ctcvcp_HIncl_M125_TuneCP5_13TeV-madgraph-pythia8,Weight_pdf_variation_306067,0.994467839534,0.994467839534,-1.0,-1.0,-1.0,-1.0,0.994467839534,-1.0,-1.0,-1.0,-1.0,-1.0
