Uncertainty,Type,Construction,Up,Down,Plot,ttH,ttlf,ttbb,ttbb_5FS,ttcc,ttZ,ttZ_noZ,ttZ_falseZ,ttZ_Zbb,ttZ_Zqq,ttZ_Znonbb,ttH_noH,ttH_falseH,ttH_Hnonbb,ttH_Hbb
ISR_ttZ,shape,weight,"""weight_ISR_ttZ_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_up*internalNormFactors.at(""GenWeight_isr_Def_up""))*DOWEIGHTS""","""weight_ISR_ttZ_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_isr_Def_down*internalNormFactors.at(""GenWeight_isr_Def_down""))*DOWEIGHTS""",1,,,,,,1,1,1,1,1,1,,,,
ISR_ttbb,shape,weight,"""weight_ISR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTBB))*DOWEIGHTS""","""weight_ISR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTBB))*DOWEIGHTS""",1,,,1,1,,,,,,,,,,,
ISR_ttcc,shape,weight,"""weight_ISR_ttcc_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTCC))*DOWEIGHTS""","""weight_ISR_ttcc_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTCC))*DOWEIGHTS""",1,,,,,1,,,,,,,,,,
ISR_ttlf,shape,weight,"""weight_ISR_ttlf_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRUPTTLF))*DOWEIGHTS""","""weight_ISR_ttlf_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(ISRDOWNTTLF))*DOWEIGHTS""",1,,1,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
FSR_ttH,shape,weight,"""weight_FSR_ttH_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttH_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,1,,,,,,,,,,,1,1,1,1
FSR_ttZ,shape,weight,"""weight_FSR_ttz_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_up*internalNormFactors.at(""GenWeight_fsr_Def_up""))*DOWEIGHTS""","""weight_FSR_ttZ_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*GenWeight_fsr_Def_down*internalNormFactors.at(""GenWeight_fsr_Def_down""))*DOWEIGHTS""",1,,,,,,1,1,1,1,1,1,,,,
FSR_ttbb,shape,weight,"""weight_FSR_ttbb_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTBB))*DOWEIGHTS""","""weight_FSR_ttbb_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTBB))*DOWEIGHTS""",1,,,1,1,,,,,,,,,,,
FSR_ttcc,shape,weight,"""weight_FSR_ttcc_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTCC))*DOWEIGHTS""","""weight_FSR_ttcc_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTCC))*DOWEIGHTS""",1,,,,,1,,,,,,,,,,
FSR_ttlf,shape,weight,"""weight_FSR_ttlf_Up:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRUPTTLF))*DOWEIGHTS""","""weight_FSR_ttlf_Down:=(DEFAULTWEIGHT*LEPTONSFS*TRIGGERSFS*(FSRDOWNTTLF))*DOWEIGHTS""",1,,1,,,,,,,,,,,,,
